the_geom,MeterNo,MeterType,LONG,LAT,Status,Borough,X,Y
POINT (-73.95207380416745 40.8113065468636),1019682,Strada,-73.9520738042,40.8113065469,Active,Manhattan,997516.827457,234861.568384
POINT (-73.95238735463664 40.810876049775395),1019681,Strada,-73.9523873546,40.8108760498,Active,Manhattan,997430.116344,234704.675653
POINT (-73.9527649032556 40.81035858275336),1019683,Strada,-73.9527649033,40.8103585828,Inactive,Manhattan,997325.705136,234516.087448
POINT (-73.96225597387874 40.607751305599116),3051337,Strada,-73.9622559739,40.6077513056,Active,Brooklyn,994730.175878,160698.838429
POINT (-73.96334740225649 40.606942174474824),3051312,Strada,-73.9633474023,40.6069421745,Active,Brooklyn,994427.248334,160403.922352
POINT (-73.9627405751155 40.60713060353895),3051311,Strada,-73.9627405751,40.6071306035,Active,Brooklyn,994595.715517,160472.643015
POINT (-73.96376001447368 40.607221987548805),3051331,Strada,-73.9637600145,40.6072219875,Active,Brooklyn,994312.637015,160505.817818
POINT (-73.96385768090249 40.6071739655633),3051332,Strada,-73.9638576809,40.6071739656,Active,Brooklyn,994285.525521,160488.310963
POINT (-73.96413551634866 40.60669762887219),3051313,Strada,-73.9641355163,40.6066976289,Active,Brooklyn,994208.450872,160314.737491
POINT (-73.96463469864992 40.60686460070334),3051335,Strada,-73.9646346986,40.6068646007,Active,Brooklyn,994069.818931,160375.513288
POINT (-73.96470479392649 40.606658907963784),3051336,Strada,-73.9647047939,40.606658908,Active,Brooklyn,994050.385899,160300.56626
POINT (-73.96538681298735 40.606276309881046),3051314,Strada,-73.965386813,40.6062763099,Active,Brooklyn,993861.065412,160161.100331
POINT (-73.98524776419492 40.69172244044031),3013645,Strada,-73.9852477642,40.6917224404,Active,Brooklyn,988341.020021,191289.9239
POINT (-73.98623365996082 40.69190091550714),3013666,Strada,-73.98623366,40.6919009155,Active,Brooklyn,988067.60587,191354.903101
