factype,latitude,longitude
PUBLIC K-12 SCHOOLS,40.8159836216,-73.9018164653
PUBLIC K-12 SCHOOLS,40.7859650131,-73.9740502545
PUBLIC K-12 SCHOOLS,40.69302027,-73.8690781724
PUBLIC K-12 SCHOOLS,40.842595146,-73.8909934424
PUBLIC K-12 SCHOOLS,40.639494133,-74.0203035348
PUBLIC K-12 SCHOOLS,40.7409617694,-73.8087782938
PUBLIC K-12 SCHOOLS,40.6289799978,-73.9798426833
PUBLIC K-12 SCHOOLS,40.7565403494,-73.9326316947
PUBLIC K-12 SCHOOLS,40.7600773511,-73.8182762202
PUBLIC K-12 SCHOOLS,40.7112535409,-74.001641791
PUBLIC K-12 SCHOOLS,40.855598693,-73.9261913805
PUBLIC K-12 SCHOOLS,40.6630006759,-73.9811489463
PUBLIC K-12 SCHOOLS,40.8223130049,-73.9067442645
PUBLIC K-12 SCHOOLS,40.5708457609,-74.132912231
PUBLIC K-12 SCHOOLS,40.7085248787,-73.8558019391
PUBLIC K-12 SCHOOLS,40.7592996302,-73.9663563304
PUBLIC K-12 SCHOOLS,40.8553314945,-73.9032108338
PUBLIC K-12 SCHOOLS,40.877239372,-73.9131204353
PUBLIC K-12 SCHOOLS,40.6557640083,-73.9066876456
PUBLIC K-12 SCHOOLS,40.6859474344,-73.7834375041
PUBLIC K-12 SCHOOLS,40.655552398,-74.0042824259
PUBLIC K-12 SCHOOLS,40.621877443,-73.9257006846
PUBLIC K-12 SCHOOLS,40.6833632244,-73.849977408
PUBLIC K-12 SCHOOLS,40.7413762835,-73.8635098673
PUBLIC K-12 SCHOOLS,40.6622542468,-73.894755394
PUBLIC K-12 SCHOOLS,40.8603809791,-73.860301577
PUBLIC K-12 SCHOOLS,40.6797417853,-73.7744899305
PUBLIC K-12 SCHOOLS,40.6100919959,-73.9479749632
PUBLIC K-12 SCHOOLS,40.6976936323,-73.9192877544
PUBLIC K-12 SCHOOLS,40.6495786194,-73.9571045873
PUBLIC K-12 SCHOOLS,40.6122538578,-73.9871989414
PUBLIC K-12 SCHOOLS,40.6736491811,-73.895863565
PUBLIC K-12 SCHOOLS,40.8239643439,-73.8804894703
